
--- Test Case 1 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
---------------------------------------------------------------
1          6096302080      real       reader     0              
2          6096875520      real       reader     0              
3          6097448960      real       reader     0              
1          6098022400      real       writer     2996           
2          6098595840      real       writer     2092           
1          6099169280      dummy      reader     2092           
2          6099742720      dummy      reader     2092           
3          6100316160      dummy      reader     2092           
1          6100889600      dummy      writer     6823           
2          6101463040      dummy      writer     9027           
2          6098595840      real       writer     4598           
3          6100316160      dummy      reader     4598           
2          6101463040      dummy      writer     5630           
1          6096302080      real       reader     5630           
1          6098022400      real       writer     2658           
1          6100889600      dummy      writer     8094           
1          6099169280      dummy      reader     5630           
2          6099742720      dummy      reader     5630           
2          6096875520      real       reader     4598           
3          6097448960      real       reader     4598           
3          6100316160      dummy      reader     5630           
2          6098595840      real       writer     1493           
1          6100889600      dummy      writer     3222           
3          6097448960      real       reader     3222           
2          6096875520      real       reader     3222           
2          6101463040      dummy      writer     6695           
2          6099742720      dummy      reader     6695           
1          6099169280      dummy      reader     3222           
1          6098022400      real       writer     9458           
1          6096302080      real       reader     6695           
3          6100316160      dummy      reader     9458           
2          6101463040      dummy      writer     5407           
1          6098022400      real       writer     8132           
3          6097448960      real       reader     8132           
1          6100889600      dummy      writer     365            
2          6098595840      real       writer     3274           
1          6099169280      dummy      reader     3274           
2          6096875520      real       reader     3274           
1          6096302080      real       reader     3274           
2          6099742720      dummy      reader     3274           
3          6100316160      dummy      reader     3274           
1          6098022400      real       writer     7159           
1          6100889600      dummy      writer     5754           
3          6097448960      real       reader     5754           
1          6099169280      dummy      reader     5754           
2          6096875520      real       reader     5754           
1          6096302080      real       reader     5754           
2          6099742720      dummy      reader     606            
2          6101463040      dummy      writer     606            
2          6098595840      real       writer     4687           

--- Test Case 2 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
---------------------------------------------------------------
1          6096302080      real       reader     0              
2          6096875520      real       reader     0              
3          6097448960      real       reader     0              
4          6098022400      real       reader     0              
5          6098595840      real       reader     0              
1          6099169280      real       writer     6994           
2          6099742720      real       writer     4820           
3          6100316160      real       writer     3299           
4          6100889600      real       writer     5159           
1          6104903680      dummy      writer     9263           
2          6105477120      dummy      writer     728            
1          6102036480      dummy      reader     3644           
2          6102609920      dummy      reader     3644           
3          6103183360      dummy      reader     3644           
3          6106050560      dummy      writer     6393           
4          6103756800      dummy      reader     3644           
5          6104330240      dummy      reader     3644           
4          6106624000      dummy      writer     4520           
5          6101463040      real       writer     3644           
5          6107197440      dummy      writer     4967           
1          6104903680      dummy      writer     6497           
1          6102036480      dummy      reader     9040           
5          6101463040      real       writer     9040           
3          6106050560      dummy      writer     4392           
4          6098022400      real       reader     4392           
3          6097448960      real       reader     4392           
1          6096302080      real       reader     4392           
2          6099742720      real       writer     6637           
5          6098595840      real       reader     6637           
3          6100316160      real       writer     1588           
4          6103756800      dummy      reader     1588           
4          6100889600      real       writer     6203           
4          6106624000      dummy      writer     144            
5          6104330240      dummy      reader     852            
1          6099169280      real       writer     2379           
3          6103183360      dummy      reader     852            
5          6107197440      dummy      writer     852            
2          6096875520      real       reader     852            
2          6105477120      dummy      writer     4531           
2          6102609920      dummy      reader     4531           
5          6098595840      real       reader     4531           
3          6097448960      real       reader     4531           
5          6104330240      dummy      reader     4531           
1          6102036480      dummy      reader     4531           
3          6100316160      real       writer     5344           
2          6102609920      dummy      reader     5344           
3          6106050560      dummy      writer     6323           
1          6104903680      dummy      writer     8331           
2          6105477120      dummy      writer     6711           
4          6098022400      real       reader     8331           
5          6107197440      dummy      writer     150            
4          6103756800      dummy      reader     150            
5          6101463040      real       writer     5645           
4          6106624000      dummy      writer     5082           
2          6096875520      real       reader     5082           
3          6103183360      dummy      reader     5082           
1          6099169280      real       writer     9574           
1          6096302080      real       reader     9574           
4          6100889600      real       writer     6577           
2          6099742720      real       writer     6582           
5          6098595840      real       reader     6582           
5          6104330240      dummy      reader     6582           
1          6096302080      real       reader     6582           
5          6107197440      dummy      writer     9150           
1          6102036480      dummy      reader     9150           
2          6102609920      dummy      reader     9150           
5          6101463040      real       writer     6974           
3          6100316160      real       writer     976            
3          6097448960      real       reader     6056           
4          6098022400      real       reader     6056           
4          6106624000      dummy      writer     3955           
1          6104903680      dummy      writer     8637           
2          6105477120      dummy      writer     963            
1          6099169280      real       writer     3797           
2          6096875520      real       reader     3797           
4          6103756800      dummy      reader     9150           
3          6106050560      dummy      writer     6056           
3          6103183360      dummy      reader     3797           
4          6100889600      real       writer     1000           
2          6099742720      real       writer     5555           
5          6098595840      real       reader     5555           
4          6098022400      real       reader     5555           
1          6102036480      dummy      reader     2273           
4          6100889600      real       writer     2273           
3          6100316160      real       writer     2295           
5          6101463040      real       writer     8686           
1          6099169280      real       writer     8750           
5          6107197440      dummy      writer     3608           
3          6103183360      dummy      reader     3608           
2          6102609920      dummy      reader     3608           
1          6096302080      real       reader     3608           
3          6097448960      real       reader     3704           
4          6106624000      dummy      writer     4052           
2          6105477120      dummy      writer     701            
2          6096875520      real       reader     701            
5          6104330240      dummy      reader     8750           
4          6103756800      dummy      reader     8750           
3          6106050560      dummy      writer     1721           
1          6104903680      dummy      writer     3704           
2          6099742720      real       writer     8785           

--- Test Case 3 ---
