
--- Test Case 1 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
---------------------------------------------------------------
1          6162444288      real       reader     0              
2          6163017728      real       reader     0              
3          6163591168      real       reader     0              
1          6165311488      dummy      reader     0              
2          6165884928      dummy      reader     0              
3          6166458368      dummy      reader     0              
1          6164164608      real       writer     3893           
2          6164738048      real       writer     1139           
1          6167031808      dummy      writer     461            
2          6167605248      dummy      writer     3928           
1          6162444288      real       reader     3928           
2          6165884928      dummy      reader     3928           
1          6165311488      dummy      reader     3928           
3          6166458368      dummy      reader     3928           
2          6163017728      real       reader     3928           
3          6163591168      real       reader     3928           
1          6164164608      real       writer     1902           
2          6164738048      real       writer     1761           
1          6167031808      dummy      writer     5393           
2          6167605248      dummy      writer     2335           
2          6165884928      dummy      reader     2335           
3          6163591168      real       reader     2335           
2          6163017728      real       reader     2335           
3          6166458368      dummy      reader     2335           
1          6162444288      real       reader     2335           
1          6165311488      dummy      reader     2335           
1          6164164608      real       writer     6887           
2          6164738048      real       writer     2983           
1          6167031808      dummy      writer     817            
2          6167605248      dummy      writer     6782           
3          6166458368      dummy      reader     6782           
1          6165311488      dummy      reader     6782           
2          6163017728      real       reader     6782           
3          6163591168      real       reader     6782           
2          6165884928      dummy      reader     6782           
1          6162444288      real       reader     6782           
1          6164164608      real       writer     8573           
2          6164738048      real       writer     9931           
1          6167031808      dummy      writer     3179           
2          6167605248      dummy      writer     3930           
3          6166458368      dummy      reader     3930           
1          6162444288      real       reader     3930           
3          6163591168      real       reader     3930           
2          6163017728      real       reader     3930           
2          6165884928      dummy      reader     3930           
1          6165311488      dummy      reader     3930           
1          6164164608      real       writer     3240           
2          6164738048      real       writer     584            
1          6167031808      dummy      writer     2846           
2          6167605248      dummy      writer     1242           

--- Test Case 2 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
---------------------------------------------------------------
1          6162444288      real       reader     0              
2          6163017728      real       reader     0              
3          6163591168      real       reader     0              
4          6164164608      real       reader     0              
5          6164738048      real       reader     0              
1          6168178688      dummy      reader     0              
2          6168752128      dummy      reader     0              
3          6169325568      dummy      reader     0              
4          6169899008      dummy      reader     0              
5          6170472448      dummy      reader     0              
1          6165311488      real       writer     7376           
2          6165884928      real       writer     9148           
3          6166458368      real       writer     2400           
4          6167031808      real       writer     7882           
5          6167605248      real       writer     9265           
1          6171045888      dummy      writer     9962           
2          6171619328      dummy      writer     410            
3          6172192768      dummy      writer     1926           
4          6172766208      dummy      writer     5424           
5          6173339648      dummy      writer     6195           
3          6163591168      real       reader     6195           
1          6162444288      real       reader     6195           
5          6170472448      dummy      reader     6195           
3          6169325568      dummy      reader     6195           
5          6164738048      real       reader     6195           
4          6164164608      real       reader     6195           
2          6163017728      real       reader     6195           
2          6168752128      dummy      reader     6195           
4          6169899008      dummy      reader     6195           
1          6168178688      dummy      reader     6195           
1          6165311488      real       writer     5495           
2          6165884928      real       writer     7631           
3          6166458368      real       writer     3695           
4          6167031808      real       writer     3926           
5          6167605248      real       writer     5003           
1          6171045888      dummy      writer     2260           
2          6171619328      dummy      writer     4943           
3          6172192768      dummy      writer     7190           
4          6172766208      dummy      writer     1190           
5          6173339648      dummy      writer     6139           
5          6170472448      dummy      reader     6139           
3          6169325568      dummy      reader     6139           
2          6168752128      dummy      reader     6139           
5          6164738048      real       reader     6139           
1          6162444288      real       reader     6139           
1          6168178688      dummy      reader     6139           
4          6164164608      real       reader     6139           
3          6163591168      real       reader     6139           
4          6169899008      dummy      reader     6139           
2          6163017728      real       reader     6139           
1          6165311488      real       writer     6796           
2          6165884928      real       writer     9629           
3          6166458368      real       writer     8248           
4          6167031808      real       writer     3610           
5          6167605248      real       writer     3533           
1          6171045888      dummy      writer     2392           
2          6171619328      dummy      writer     7930           
3          6172192768      dummy      writer     2668           
4          6172766208      dummy      writer     3918           
5          6173339648      dummy      writer     5489           
5          6164738048      real       reader     5489           
1          6162444288      real       reader     5489           
3          6169325568      dummy      reader     5489           
5          6170472448      dummy      reader     5489           
2          6163017728      real       reader     5489           
4          6169899008      dummy      reader     5489           
4          6164164608      real       reader     5489           
3          6163591168      real       reader     5489           
1          6168178688      dummy      reader     5489           
2          6168752128      dummy      reader     5489           
1          6165311488      real       writer     970            
2          6165884928      real       writer     8563           
3          6166458368      real       writer     8339           
4          6167031808      real       writer     3298           
5          6167605248      real       writer     1078           
1          6171045888      dummy      writer     9530           
2          6171619328      dummy      writer     78             
3          6172192768      dummy      writer     3460           
4          6172766208      dummy      writer     3577           
5          6173339648      dummy      writer     8979           
2          6168752128      dummy      reader     8979           
1          6162444288      real       reader     8979           
4          6169899008      dummy      reader     8979           
3          6163591168      real       reader     8979           
2          6163017728      real       reader     8979           
5          6170472448      dummy      reader     8979           
1          6168178688      dummy      reader     8979           
4          6164164608      real       reader     8979           
3          6169325568      dummy      reader     8979           
5          6164738048      real       reader     8979           
1          6165311488      real       writer     8637           
2          6165884928      real       writer     5442           
3          6166458368      real       writer     6143           
4          6167031808      real       writer     1423           
5          6167605248      real       writer     7644           
